login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/playing-with-trpc-10,2022-08-30T19:27:54Z,20,20,TypeScript,True,True,
midudev,midudev/covid-19-spread-simulator,2020-03-15T21:54:36Z,138,138,JavaScript,True,True,isc
midudev,midudev/miduco,2023-02-28T18:51:11Z,82,82,JavaScript,True,True,
midudev,midudev/remove-bg-cloudinary-hackathon,2023-02-21T18:50:59Z,75,75,Svelte,True,True,
midudev,midudev/midu-cohere-hackathon,2023-01-24T18:54:44Z,81,81,JavaScript,True,True,
midudev,midudev/kings-league-project,2023-01-03T17:20:23Z,1515,1515,JavaScript,True,True,mit
midudev,midudev/manitas.dev,2023-01-20T09:23:53Z,27,27,Astro,True,True,
midudev,midudev/supabase-remix-midu-chat,2023-01-19T19:03:34Z,27,27,TypeScript,True,True,
midudev,midudev/webpack-paso-a-paso-live-coding,2020-04-03T22:45:32Z,30,30,JavaScript,True,True,
midudev,midudev/komic.app,2019-07-08T19:10:21Z,8,8,CSS,True,True,
midudev,midudev/react-live-coding,2020-04-24T21:06:21Z,544,544,JavaScript,True,True,
midudev,midudev/curso-platzi-react-avanzado,2019-04-17T13:50:29Z,183,183,JavaScript,True,True,
midudev,midudev/deno-fresh-blog,2022-12-20T19:12:49Z,20,20,TypeScript,True,True,
midudev,midudev/campanadas.dev,2022-11-09T14:23:58Z,13,13,TypeScript,True,True,
midudev,midudev/devfolio,2022-11-07T14:33:21Z,13,13,,True,True,
midudev,midudev/midu-excel,2022-10-20T20:03:33Z,47,47,JavaScript,True,True,
midudev,midudev/loadingDots,2013-04-16T15:42:27Z,9,9,CSS,True,True,other
midudev,midudev/frontend-mentor-challenges,2022-09-20T18:43:59Z,61,61,Astro,True,True,
midudev,midudev/black-friday-app-autocomplete,2021-11-29T11:59:16Z,20,20,JavaScript,True,True,
midudev,midudev/aprendiendo-electron,2022-08-18T19:36:46Z,25,25,JavaScript,True,True,
midudev,midudev/libro-aprendiendo-git-issues,2021-08-30T13:35:47Z,69,69,,True,True,
midudev,midudev/chat-hackathon,2022-07-03T08:56:35Z,20,20,Svelte,True,True,
midudev,midudev/rate-repository-app,2021-07-18T14:34:25Z,70,70,JavaScript,True,True,
midudev,midudev/midu-weather,2022-05-20T10:02:18Z,17,17,Svelte,True,True,
midudev,midudev/react-router-dom-6-protected-route-example,2022-05-15T10:39:43Z,23,23,JavaScript,True,True,
midudev,midudev/hackathons,2022-05-05T14:24:19Z,8,8,,True,True,
midudev,midudev/google-meet-clone,2022-04-22T19:50:58Z,39,39,JavaScript,True,True,
